minor_nt,major_nt,severe_nt,storm_status,quiet_status,storm_detection_rate,missed_global_event_rate,under_reacting_rate,mean_abs_level_error,storm_validation_yield,quiet_false_alarm_rate,quiet_validation_yield,composite_score
30,80,150,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5860713037399511,0.9678819444444444,0.001388888888888889,1.0,0.9170335824009208
30,80,200,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5860713037399511,0.9678819444444444,0.001388888888888889,1.0,0.9170335824009208
30,80,250,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5860713037399511,0.9678819444444444,0.001388888888888889,1.0,0.9170335824009208
30,80,300,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5860713037399511,0.9678819444444444,0.001388888888888889,1.0,0.9170335824009208
30,80,350,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5860713037399511,0.9678819444444444,0.001388888888888889,1.0,0.9170335824009208
30,80,400,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5860713037399511,0.9678819444444444,0.001388888888888889,1.0,0.9170335824009208
30,80,500,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5860713037399511,0.9678819444444444,0.001388888888888889,1.0,0.9170335824009208
30,100,150,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5664103460328557,0.9769965277777778,0.001388888888888889,1.0,0.9170335824009208
30,100,200,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5664103460328557,0.9769965277777778,0.001388888888888889,1.0,0.9170335824009208
30,100,250,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5664103460328557,0.9769965277777778,0.001388888888888889,1.0,0.9170335824009208
30,100,300,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5664103460328557,0.9769965277777778,0.001388888888888889,1.0,0.9170335824009208
30,100,350,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5664103460328557,0.9769965277777778,0.001388888888888889,1.0,0.9170335824009208
30,100,400,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5664103460328557,0.9769965277777778,0.001388888888888889,1.0,0.9170335824009208
30,100,500,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5664103460328557,0.9769965277777778,0.001388888888888889,1.0,0.9170335824009208
30,120,150,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5615169521146453,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,120,200,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5615169521146453,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,120,250,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5615169521146453,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,120,300,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5615169521146453,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,120,350,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5615169521146453,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,120,400,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5615169521146453,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,120,500,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5615169521146453,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,140,150,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5631772107654667,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,140,200,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5631772107654667,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,140,250,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5631772107654667,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,140,300,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5631772107654667,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,140,350,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5631772107654667,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,140,400,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5631772107654667,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,140,500,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5631772107654667,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,160,200,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5657986717930793,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,160,250,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5657986717930793,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,160,300,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5657986717930793,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,160,350,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5657986717930793,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,160,400,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5657986717930793,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,160,500,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5657986717930793,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,180,200,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5688570429919608,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,180,250,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5688570429919608,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,180,300,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5688570429919608,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,180,350,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5688570429919608,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,180,400,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5688570429919608,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,180,500,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5688570429919608,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,200,250,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5718280321565886,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,200,300,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5718280321565886,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,200,350,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5718280321565886,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,200,400,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5718280321565886,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,200,500,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5718280321565886,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,250,300,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5817895840615169,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,250,350,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5817895840615169,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,250,400,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5817895840615169,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
30,250,500,ok,ok,0.8477777777777777,0.12407407407407407,0.1437908496732026,0.5817895840615169,0.9782986111111112,0.001388888888888889,1.0,0.9170335824009208
40,80,150,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5613421880461377,0.9678819444444444,0.0,1.0,0.8959313023916542
40,80,200,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5613421880461377,0.9678819444444444,0.0,1.0,0.8959313023916542
40,80,250,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5613421880461377,0.9678819444444444,0.0,1.0,0.8959313023916542
40,80,300,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5613421880461377,0.9678819444444444,0.0,1.0,0.8959313023916542
40,80,350,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5613421880461377,0.9678819444444444,0.0,1.0,0.8959313023916542
40,80,400,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5613421880461377,0.9678819444444444,0.0,1.0,0.8959313023916542
40,80,500,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5613421880461377,0.9678819444444444,0.0,1.0,0.8959313023916542
40,100,150,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5416812303390423,0.9769965277777778,0.0,1.0,0.8959313023916542
40,100,200,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5416812303390423,0.9769965277777778,0.0,1.0,0.8959313023916542
40,100,250,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5416812303390423,0.9769965277777778,0.0,1.0,0.8959313023916542
40,100,300,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5416812303390423,0.9769965277777778,0.0,1.0,0.8959313023916542
40,100,350,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5416812303390423,0.9769965277777778,0.0,1.0,0.8959313023916542
40,100,400,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5416812303390423,0.9769965277777778,0.0,1.0,0.8959313023916542
40,100,500,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5416812303390423,0.9769965277777778,0.0,1.0,0.8959313023916542
40,120,150,ok,ok,0.8114814814814815,0.14,0.16013071895424835,0.5367878364208318,0.9782986111111112,0.0,1.0,0.8959313023916542
